Date	Rep	Region	Order Status	Product	Cost	Units	Total
23-11-2020	Azhar  Ali	East	Pending	Binder	5	29	145
24-11-2020	Ram Chander Jha	East	Pending	Desk	275	1	275
25-11-2020	Rajat	East	Canceled	Pencil	3	20	60
26-11-2020	Pushpendra Singh Rathore	East	Backorder	Pencil	3	35	105
27-11-2020	Vinay Kumar Upadhayay	East	Backorder	Binder	5	81	405
28-11-2020	Ravi Parkash Solanki	East	Shipped	Desk	275	2	550
29-11-2020	Rohit Kumar Tiwari	East	Backorder	Desk	275	3	825
30-11-2020	Badri Prsad Mishra	East	Canceled	Pen	2	56	112
12-01-2020	Amit Kumar Verma	East	Shipped	Binder	5	28	140
12-02-2020	Ramesh Singh Negi	East	Backorder	Pencil	3	12	36
12-03-2020	Sh Pratap Singh	East	Shipped	Pen Set	5	16	80
12-04-2020	Leela Dhar Narang	East	Shipped	Pen Set	5	48	240
12-05-2020	Komal / Kabila	East	Pending	Pen	2	64	128
02-06-2016	Deepak Kumar Mishra	East	Pending	Pen	2	15	30
09-07-2020	Sardar Sarbjeet Singh	East	Pending	Binder	5	71	355
09-08-2020	Amar Singh Mahar	East	Shipped	Pen Set	5	96	480
09-09-2020	Sachin Kumal Taneja	East	Shipped	Desk	275	2	550
09-10-2020	Vijay Pal Singh	East	Canceled	Pencil	3	67	201
09-11-2020	Pandit Ram Niwas	East	Shipped	Pen Set	5	74	370
09-12-2020	Banwari Lal Bairwa	East	Shipped	Desk	275	5	1375
13-09-2020	Krishan Lal Gulyani	East	Backorder	Binder	5	46	230
14-09-2020	Ram Naresh Yadav	East	Pending	Pen Set	5	99	495
15-09-2020	Bhanu Pratap Singh	East	Shipped	Pen	2	41	82
16-09-2020	Ram Narayan Meena	East	Canceled	Desk	275	1	275
17-09-2020	Shri Kant Ghore	East	Shipped	Binder	5	87	435
18-09-2020	Jay Dev Jha	East	Pending	Pen Set	5	62	310
19-09-2020	Tara Dutt Suyal	East	Shipped	Binder	5	4	20
20-09-2020	Bal Bahadur Kayanchhaki	East	Shipped	Binder	5	7	35
21-09-2020	Radhey Shyam Verma	East	Canceled	Binder	5	86	430
22-09-2020	Chandra Dhar Pande	East	Shipped	Pen Set	5	50	250
23-09-2020	Balwant Ray Arora	East	Backorder	Pen Set	5	75	375
24-09-2020	Balwant Ray Arora	East	Pending	Pencil	3	66	198
25-09-2020	Ravinder Singh Rana	East	Pending	Pencil	3	53	159
26-09-2020	Sunil Kumar Singh	East	Shipped	Binder	5	80	400
27-09-2020	Ramesh Chander Gupta	East	Shipped	Pen	2	96	192
28-09-2020	Sandeep Kumar Sharma	East	Backorder	Pen Set	5	62	310
29-09-2020	Shankar Lal Gopalani	East	Pending	Pen Set	5	68	340
30-09-2020	Ram Parkash Teneja	East	Backorder	Desk	275	2	550
10-01-2020	Murari Lal Maharaj	East	Pending	Pen Set	5	55	275
10-02-2020	Harvinder Singh Sandhu	East	Shipped	Pencil	3	16	48
10-03-2020	Raju Kumar Mandal	East	Pending	Pencil	3	68	204
10-04-2020	Shyam Narain Pande	East	Backorder	Desk	275	5	1375
10-05-2020	Mohhmad Shahil Ragraj	East	Shipped	Desk	275	2	550
10-06-2020	Nand Lal Meena	East	Shipped	Pen Set	5	42	210
10-07-2020	Surender Kumar Singh	East	Shipped	Pencil	3	7	21
10-08-2020	Inder Singh Sawant	East	Backorder	Binder	5	70	350
10-09-2020	Sone Lal Bhanderi	East	Pending	Desk	275	4	1100
10-10-2020	Mul Chand Kumawat	East	Backorder	Pencil	3	42	126
10-11-2020	Yogesh Kumar Dhunna	East	Shipped	Pen Set	5	29	145
10-12-2020	Surya Narayan Mukhiya	East	Shipped	Pen	2	76	152
13-10-2020	Mohd Sajad Ali	East	Shipped	Pen	2	77	154
14-10-2020	Suraj Sahay Sharma	East	Shipped	Pencil	3	36	108
15-10-2020	Manish Kumar Sharma	East	Shipped	Pencil	3	95	285
16-10-2020	Vikram Singh Rajpoot	East	Shipped	Binder	5	50	250
17-10-2020	Shib Lal Singh	East	Shipped	Binder	5	60	300
18-10-2020	Mr. Narender Mali	East	Shipped	Binder	5	27	135
19-10-2020	Hari Mohan Gurjar	East	Shipped	Pencil	3	56	168
20-10-2020	Sh. Amar Singh	East	Shipped	Pencil	3	90	270
21-10-2020	Dilip Kumar Tanwar	East	Shipped	Pencil	3	75	225
22-10-2020	Ajit Kumar Parsad	East	Canceled	Pencil	3	32	96
23-10-2020	Abhash Lochan Jha	East	Shipped	Pen	2	74	148
24-10-2020	Dharmender Kumar Sharma	East	Canceled	Binder	5	60	300
25-10-2020	Rakesh Kumar Garg	East	Shipped	Desk	275	2	550
26-10-2020	Ajay Singh Rajawat	East	Pending	Pencil	3	90	270
27-10-2020	Shri Subhash Chand	East	Pending	Binder	5	29	145
28-10-2020	Lave Kumar Sharma	East	Pending	Desk	275	1	275
29-10-2020	Amit Kumar Giri	East	Canceled	Pencil	3	20	60
30-10-2020	Ajay Kumar Jain	East	Backorder	Pencil	3	35	105
31-10-2020	Boby Kumar Yadav	East	Backorder	Binder	5	81	405
11-01-2020	P S Eswaran	East	Shipped	Desk	275	2	550
11-02-2020	Mr. Babu Lal	East	Backorder	Desk	275	3	825
11-03-2020	Om Parkash Yadav	East	Canceled	Pen	2	56	112
11-04-2020	Kali Charan Sain	East	Shipped	Binder	5	28	140
11-05-2020	Mohan Singh Tyagi	East	Backorder	Pencil	3	12	36
11-06-2020	Suresh ,Umar Jain	East	Shipped	Pen Set	5	16	80
11-07-2020	Suresh Kumar Jain	East	Shipped	Pen Set	5	48	240
11-08-2020	Jai Kumar Gupta	East	Pending	Pen	2	64	128
11-09-2020	Babar Ali Khan	East	Pending	Pen	2	15	30
11-10-2020	Badri Narayan Yadav	East	Pending	Binder	5	71	355
11-11-2020	Chandan Kumar Yadav	East	Shipped	Pen Set	5	96	480
11-12-2020	Rajkumar	East	Shipped	Desk	275	2	550
13-11-2020	Sardar Kawaljeet Singh	East	Canceled	Pencil	3	67	201
14-11-2020	Mohit Parsad Uniyal	East	Shipped	Pen Set	5	74	370
15-11-2020	Harish Chand Dua	East	Shipped	Desk	275	5	1375
16-11-2020	Shyad Furkahn Hussain	East	Backorder	Binder	5	46	230
17-11-2020	Khushal  Singh	East	Pending	Pen Set	5	99	495
18-11-2020	Bajrangi Lal Kasyap	East	Shipped	Pen	2	41	82
19-11-2020	Jai Ram Tiwari	East	Canceled	Desk	275	1	275
20-11-2020	Nar Singh Thakur	East	Shipped	Binder	5	87	435
21-11-2020	Yogender Kumar Gupta	East	Pending	Pen Set	5	62	310
22-11-2020	Moh  Farman	East	Shipped	Binder	5	4	20
23-11-2020	Hare Krishana Mishra	East	Shipped	Binder	5	7	35
24-11-2020	Ashok Kumar Sani	East	Canceled	Binder	5	86	430
25-11-2020	Subhash Raoji Deyo	East	Shipped	Pen Set	5	50	250
26-11-2020	Yogender Kumar Gupta	East	Backorder	Pen Set	5	75	375
27-11-2020	Amit Kumar Yadav	East	Pending	Pencil	3	66	198
28-11-2020	Ravi Kumar Soni	East	Pending	Pencil	3	53	159
29-11-2020	Man Mohan Aggarwal	East	Shipped	Binder	5	80	400
30-11-2020	Jai Ram Kir	East	Shipped	Pen	2	96	192
12-01-2020	Surender Singh Rathore	East	Backorder	Pen Set	5	62	310
12-02-2020	Parmo Kumar Jain	East	Pending	Pen Set	5	68	340
12-03-2020	Mohit Kumar Sharma	East	Backorder	Desk	275	2	550
12-04-2020	Surjeet Singh Banjara	East	Pending	Pen Set	5	55	275
12-05-2020	Rakesh Kumar Meena	East	Shipped	Pencil	3	16	48
12-06-2020	Ramchandra Parsad Kurmi	East	Pending	Pencil	3	68	204
12-07-2020	Dayal Singh B	East	Backorder	Desk	275	5	1375
12-08-2020	Ranjan Singh Rai	East	Shipped	Desk	275	2	550
12-09-2020	Rahul Singh Bisht	East	Shipped	Pen Set	5	42	210
12-10-2020	Manku Ram Jat	East	Shipped	Pencil	3	7	21
12-11-2020	Nathu Lal Sankhla	East	Backorder	Binder	5	70	350
12-12-2020	Mohd. Hasan Ali	East	Pending	Desk	275	4	1100
13-12-2020	Mohammad Ali Imam	East	Backorder	Pencil	3	42	126
14-12-2020	Dd Suraj Kumar	East	Shipped	Pen Set	5	29	145
15-12-2020	Rakesh Kumar Agrwal	East	Shipped	Pen	2	76	152
16-12-2020	Inder Mahipal Arya	East	Shipped	Pen	2	77	154
09-07-2020	Sitender Singh Bedi	East	Shipped	Pencil	3	36	108
09-08-2020	Hitesh	East	Shipped	Pencil	3	95	285
09-09-2020	Devid Rana Singh	East	Shipped	Binder	5	50	250
09-10-2020	Parashu Ram Sharma	East	Shipped	Binder	5	60	300
09-11-2020	Manoj Kumar Rajhans	East	Shipped	Binder	5	27	135
09-12-2020	Nand Lal Bansal	East	Shipped	Pencil	3	56	168
13-09-2020	Tapan Kumar Ghos	East	Shipped	Pencil	3	90	270
14-09-2020	Kuwar Pal Singh	East	Shipped	Pencil	3	75	225
15-09-2020	Satish Chander Jha	East	Canceled	Pencil	3	32	96
16-09-2020	Shree Prakash Garg	East	Shipped	Pen	2	74	148
17-09-2020	Avdesh Singh Tomar	East	Canceled	Binder	5	60	300
18-09-2020	Md Aktab Alam	East	Shipped	Desk	275	2	550
19-09-2020	Anil Kumar Tete	East	Pending	Pencil	3	90	270
20-09-2020	Prem Parkash Seth	East	Pending	Binder	5	29	145
21-09-2020	Parshu Ram Singh	East	Pending	Desk	275	1	275
22-09-2020	Lal Prasad Narala	East	Canceled	Pencil	3	20	60
23-09-2020	Santosh Kumar Singh	East	Backorder	Pencil	3	35	105
24-09-2020	Ram Deeta Mehto	East	Backorder	Binder	5	81	405
25-09-2020	Rajeet Kumar Singh	East	Shipped	Desk	275	2	550
26-09-2020	Laxmi Narayan Verma	East	Backorder	Desk	275	3	825
27-09-2020	Mr. Ashish Khandelwal	East	Canceled	Pen	2	56	112
28-09-2020	Chander Bhan Yadav	East	Shipped	Binder	5	28	140
29-09-2020	Fanni Bhusan Shina	East	Backorder	Pencil	3	12	36
30-09-2020	B R John	East	Shipped	Pen Set	5	16	80
10-01-2020	Dinesh Kumar Saini	East	Shipped	Pen Set	5	48	240
10-02-2020	Jai Ram Mandal	East	Pending	Pen	2	64	128
10-03-2020	Guru Charan Lal	East	Pending	Pen	2	15	30
10-04-2020	Mukesh Kumar Shav	East	Pending	Binder	5	71	355
10-05-2020	Sushil Kumar Arora	East	Shipped	Pen Set	5	96	480
10-06-2020	Satyanarayan  Dholi	East	Shipped	Desk	275	2	550
10-07-2020	Satya Narayan Bacchan	East	Canceled	Pencil	3	67	201
10-08-2020	Mohit  Thakur	East	Shipped	Pen Set	5	74	370
10-09-2020	Virendra  Singh	East	Shipped	Desk	275	5	1375
10-10-2020	Ravi Teja Nikkam	East	Backorder	Binder	5	46	230
10-11-2020	Banwari Lal Saini	East	Pending	Pen Set	5	99	495
10-12-2020	Dev Kumar Singh	East	Shipped	Pen	2	41	82
13-10-2020	Raj Kumar Mishra	East	Canceled	Desk	275	1	275
14-10-2020	Pawan Alias Lakshman	East	Shipped	Binder	5	87	435
15-10-2020	Puskar Singh Dhami	East	Pending	Pen Set	5	62	310
16-10-2020	Sh. Madan Jain	East	Shipped	Binder	5	4	20
17-10-2020	Maha Dev Sharma	East	Shipped	Binder	5	7	35
18-10-2020	Shri  Chatru	East	Canceled	Binder	5	86	430
19-10-2020	Mohmmad  Sarif	East	Shipped	Pen Set	5	50	250
20-10-2020	Lokendra Pal Singh	East	Backorder	Pen Set	5	75	375
21-10-2020	Harish Chand Joshi	East	Pending	Pencil	3	66	198
22-10-2020	Pramod Kumar Tiwari	East	Pending	Pencil	3	53	159
23-10-2020	Gagan Bihari Sharma	East	Shipped	Binder	5	80	400
24-10-2020	Sita Ram Saini	East	Shipped	Pen	2	96	192
25-10-2020	Rajender Kumar Sehgal	East	Backorder	Pen Set	5	62	310
26-10-2020	Ram Chandra Mishra	East	Pending	Pen Set	5	68	340
27-10-2020	Shyam Gopal Swarnkar	East	Backorder	Desk	275	2	550
28-10-2020	Raju Kumar Mandal	East	Pending	Pen Set	5	55	275
29-10-2020	Anil  Kumar	East	Shipped	Pencil	3	16	48
30-10-2020	Girish Singh Patwal	East	Pending	Pencil	3	68	204
31-10-2020	Mr. Fateh Singh	East	Backorder	Desk	275	5	1375
11-01-2020	Ashok Kumar Sharma	East	Shipped	Desk	275	2	550
11-02-2020	Sunder Lal Tiwari	East	Shipped	Pen Set	5	42	210
11-03-2020	Rakesh Kumar Yadav	East	Shipped	Pencil	3	7	21
09-07-2020	Raj Kumar Yadav	East	Backorder	Binder	5	70	350
09-08-2020	Naresh Kumar Sharma	East	Pending	Desk	275	4	1100
09-09-2020	Jai Kishan Gupta	East	Backorder	Pencil	3	42	126
09-10-2020	Yashwant Kumar Karwar	East	Shipped	Pen Set	5	29	145
09-11-2020	Ashok Kumar Sharma	East	Shipped	Pen	2	76	152
09-12-2020	Anand Kumar Mishra	East	Shipped	Pen	2	77	154
13-09-2020	Mr. Lokesh Sharma	East	Shipped	Pencil	3	36	108
14-09-2020	Mahaveer Singh Yadav	East	Shipped	Pencil	3	95	285
15-09-2020	Awdhesh Kumar Singh	East	Shipped	Binder	5	50	250
16-09-2020	Iqbal Masin Hans	East	Shipped	Binder	5	60	300
17-09-2020	Prem Nath Pandey	East	Shipped	Binder	5	27	135
18-09-2020	Dev Nanden Choudhary	East	Shipped	Pencil	3	56	168
19-09-2020	Vikesh Kumar Bhatt	East	Shipped	Pencil	3	90	270
20-09-2020	Abhishek Kumar Singh	East	Shipped	Pencil	3	75	225
21-09-2020	Ravi Raj Singh	East	Canceled	Pencil	3	32	96
22-09-2020	Netra Pal Singh	East	Shipped	Pen	2	74	148
23-09-2020	Ram Nath Yadav	East	Canceled	Binder	5	60	300
24-09-2020	Jawahar Lal Mittal	East	Shipped	Desk	275	2	550
25-09-2020	Puran Chand Joshi	East	Pending	Pencil	3	90	270
26-09-2020	Ct Devesh Kumar	East	Pending	Binder	5	29	145
27-09-2020	Kishan Chand Joshi	East	Pending	Desk	275	1	275
28-09-2020	Raghubir Singh Fauji	East	Canceled	Pencil	3	20	60
29-09-2020	Madan Mohan Lal	East	Backorder	Pencil	3	35	105
30-09-2020	Mohan Lal Sharma	East	Backorder	Binder	5	81	405
10-01-2020	Amar Thuruwasn	East	Shipped	Desk	275	2	550
10-02-2020	Sandeep  Kummer	East	Backorder	Desk	275	3	825
10-03-2020	Satish Kumar Jangid	East	Canceled	Pen	2	56	112
10-04-2020	Rupak Kanti Dass	East	Shipped	Binder	5	28	140
10-05-2020	Sh Tejpal Singh	East	Backorder	Pencil	3	12	36
10-06-2020	Venkatswaran Rama Swamy	East	Shipped	Pen Set	5	16	80
10-07-2020	Kashi Nath Singh	East	Shipped	Pen Set	5	48	240
10-08-2020	Surender Nath Saini	East	Pending	Pen	2	64	128
10-09-2020	Anjeev Kumar Jain	East	Pending	Pen	2	15	30
10-10-2020	Rajendra  Pandey	East	Pending	Binder	5	71	355
10-11-2020	Prem Singh Negi	East	Shipped	Pen Set	5	96	480
10-12-2020	Naroo Orf Narayan	East	Shipped	Desk	275	2	550
13-10-2020	Sandeep  Tomar	East	Canceled	Pencil	3	67	201
14-10-2020	Aanad Prkash Goyal	East	Shipped	Pen Set	5	74	370
15-10-2020	Shri Gyan Chnad	East	Shipped	Desk	275	5	1375
16-10-2020	Ramesh Chand Tirvedi	East	Backorder	Binder	5	46	230
17-10-2020	Sh. Bharu Singh	East	Pending	Pen Set	5	99	495
18-10-2020	Ravindra Singh Kandari	East	Shipped	Pen	2	41	82
19-10-2020	Anoop Singh Patwal	East	Canceled	Desk	275	1	275
20-10-2020	Harsh Singh Bisht	East	Shipped	Binder	5	87	435
21-10-2020	Rakesh  Gupta	East	Pending	Pen Set	5	62	310
22-10-2020	Pavan Kumar Sharma	East	Shipped	Binder	5	4	20
23-10-2020	Kumari Archana Chauhan	East	Shipped	Binder	5	7	35
24-10-2020	Sachin Kumar Sharma	East	Canceled	Binder	5	86	430
25-10-2020	Mangol Jao Singh	East	Shipped	Pen Set	5	50	250
09-07-2020	Tej Pal Singh	East	Backorder	Pen Set	5	75	375
09-08-2020	Amit Kumar Nagliya	East	Pending	Pencil	3	66	198
09-09-2020	Madan Mohan Meena	East	Pending	Pencil	3	53	159
09-10-2020	Raj Kumar Choudhry	East	Shipped	Binder	5	80	400
09-11-2020	Santosh Kumar Dube	East	Shipped	Pen	2	96	192
09-12-2020	Sanjay Kumar Tripathi	East	Backorder	Pen Set	5	62	310
13-09-2020	Sh Amrik Singh	East	Pending	Pen Set	5	68	340
14-09-2020	Shri Ratan Lal	East	Backorder	Desk	275	2	550
15-09-2020	Shri  Aladeen	East	Pending	Pen Set	5	55	275
16-09-2020	Dama  Rajanna	East	Shipped	Pencil	3	16	48
17-09-2020	Anil Singh Kushwah	East	Pending	Pencil	3	68	204
18-09-2020	Yogesh Chandra Joshi	East	Backorder	Desk	275	5	1375
19-09-2020	Mohd Chand Babu	East	Shipped	Desk	275	2	550
20-09-2020	Ram Dev Yadav	East	Shipped	Pen Set	5	42	210
21-09-2020	Sh. Ram Lal	East	Shipped	Pencil	3	7	21
22-09-2020	Meeta Lal Gurjar	East	Backorder	Binder	5	70	350
23-09-2020	Vipin Kumar Panday	East	Pending	Desk	275	4	1100
24-09-2020	Jai Prakash Singh	East	Backorder	Pencil	3	42	126
25-09-2020	Mukesh Kumar Echra	East	Shipped	Pen Set	5	29	145
26-09-2020	Vikram Singh Rawat	East	Shipped	Pen	2	76	152
27-09-2020	Dinesh  Mishra	East	Shipped	Pen	2	77	154
28-09-2020	Satish Kumar Sharma	East	Shipped	Pencil	3	36	108
29-09-2020	Kishan Singh Adhkari	East	Shipped	Pencil	3	95	285
30-09-2020	Aaftab	East	Shipped	Binder	5	50	250
09-07-2020	Dharm Singh Thakur	East	Shipped	Binder	5	60	300
09-08-2020	Amit Kumar Nagpal	East	Shipped	Binder	5	27	135
09-09-2020	Dharmender Kumar Tiwari	East	Shipped	Pencil	3	56	168
09-10-2020	Dinesh Kumar Dogra	East	Shipped	Pencil	3	90	270
09-11-2020	Mohd Sabir Anjar	East	Shipped	Pencil	3	75	225
09-12-2020	Sh. Veer Singh	East	Canceled	Pencil	3	32	96
13-09-2020	Satish Kumar Aggarwal	East	Shipped	Pen	2	74	148
14-09-2020	Pankaj Singh Negi	East	Canceled	Binder	5	60	300
15-09-2020	Mohammad Gazi Khan	East	Shipped	Desk	275	2	550
16-09-2020	Kailash Singh Adhikari	East	Pending	Pencil	3	90	270
17-09-2020	Sunder Lal Mongia	East	Pending	Binder	5	29	145
18-09-2020	Ganga Bishan Bairwa	East	Pending	Desk	275	1	275
19-09-2020	Abul Kesh Ansari	East	Canceled	Pencil	3	20	60
20-09-2020	Mr. Devindra Singh	East	Backorder	Pencil	3	35	105
21-09-2020	Ajay Kumarn Mishra	East	Backorder	Binder	5	81	405
22-09-2020	Mohd. Hammad Ashraf	East	Shipped	Desk	275	2	550
23-09-2020	Baleshwar  Tiwari	East	Backorder	Desk	275	3	825
24-09-2020	Vinay Kuma R	East	Canceled	Pen	2	56	112
25-09-2020	Vijender Singh Rawat	East	Shipped	Binder	5	28	140
09-07-2020	Bhagwat Laxman Rany	East	Backorder	Pencil	3	12	36
09-08-2020	Anil Singh Maharwar	East	Shipped	Pen Set	5	16	80
09-09-2020	Mr. Himmat Singh	East	Shipped	Pen Set	5	48	240
09-10-2020	Asif Dilkar Alam	East	Pending	Pen	2	64	128
09-11-2020	Natha Bhai Bachhani	East	Pending	Pen	2	15	30
09-12-2020	Dharmpal  Yadav	East	Pending	Binder	5	71	355
13-09-2020	Kapil Kumar Kashyap	East	Shipped	Pen Set	5	96	480
14-09-2020	Ram Naywaj Singh	East	Shipped	Desk	275	2	550
15-09-2020	Vinay Kumar Bansal	East	Canceled	Pencil	3	67	201
16-09-2020	Rajender Kand Pal	East	Shipped	Pen Set	5	74	370
17-09-2020	Mr. Love Soni	East	Shipped	Desk	275	5	1375
18-09-2020	Gur Charan Singh	East	Backorder	Binder	5	46	230
19-09-2020	Sh. Ramhet Koli	East	Pending	Pen Set	5	99	495
20-09-2020	Navneet Singh Negi	East	Shipped	Pen	2	41	82
21-09-2020	Bhupendra Singh Rawat	East	Canceled	Desk	275	1	275
22-09-2020	Birgesh Kumar Gupta	East	Shipped	Binder	5	87	435
23-09-2020	Hemant Narayran Yadav	East	Pending	Pen Set	5	62	310
24-09-2020	Ved Parkash Shani	East	Shipped	Binder	5	4	20
25-09-2020	Durg Parsad Dikshit	East	Shipped	Binder	5	7	35
26-09-2020	Syed Ali Hashmi	East	Canceled	Binder	5	86	430
27-09-2020	Rakesh Kumar Arora	East	Shipped	Pen Set	5	50	250
28-09-2020	Bhanu Pratap Singh	East	Backorder	Pen Set	5	75	375
29-09-2020	Mohan Lal Sharma	East	Pending	Pencil	3	66	198
30-09-2020	Pawan Kumar Chourasiya	East	Pending	Pencil	3	53	159
10-01-2020	Navin Kumar Gutam	East	Shipped	Binder	5	80	400
10-02-2020	Vinod Chandra Upreti	East	Shipped	Pen	2	96	192
10-03-2020	Surender Nath Saini	East	Backorder	Pen Set	5	62	310
10-04-2020	Shyam Lal Chawla	East	Pending	Pen Set	5	68	340
10-05-2020	Sujeet Kumar Jha	East	Backorder	Desk	275	2	550
10-06-2020	Rajiv Madhur Gupta	East	Pending	Pen Set	5	55	275
10-07-2020	Prem Chandra Joshi	East	Shipped	Pencil	3	16	48
10-08-2020	Santosh  Kumar	East	Pending	Pencil	3	68	204
10-09-2020	Ajay Kumar Gupta	East	Backorder	Desk	275	5	1375
10-10-2020	Soban Singh Rawat,	East	Shipped	Desk	275	2	550
10-11-2020	Surender Pal Arora	East	Shipped	Pen Set	5	42	210
10-12-2020	Phakir  Chand	East	Shipped	Pencil	3	7	21
13-10-2020	Shailesh Kumar Rai	East	Backorder	Binder	5	70	350
14-10-2020	Patan Dev Mehto	East	Pending	Desk	275	4	1100
15-10-2020	Mool Chand Goyal	East	Backorder	Pencil	3	42	126
16-10-2020	Sujit Kumar Jha	East	Shipped	Pen Set	5	29	145
17-10-2020	Ram Varaksh Chaoudhary	East	Shipped	Pen	2	76	152
18-10-2020	Parmod Kumar Pal	East	Shipped	Pen	2	77	154
19-10-2020	Satya Sunder Pauigrali	East	Shipped	Pencil	3	36	108
20-10-2020	Kalap Nath Yadav	East	Shipped	Pencil	3	95	285
